Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Collection
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Large,COLOUR,White,,,B07SFVSGSZ,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/41d0jjjpJLL._AC_SL1500_.jpg,11,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Large,COLOUR,Black,,,B07SB561NH,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61LS5rCHveL._AC_SL1500_.jpg,12,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Large,COLOUR,White/Dove Grey/Black,,,B081BP62Y2,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61vM6sAuB+L._AC_SL1500_.jpg,13,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Large,COLOUR,White,,,B07SGXWJXV,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51Uf27LbkdL._AC_SL1500_.jpg,14,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,XX-Large,COLOUR,Black,,,B07SC7LBW7,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/515t9YPBXML._AC_SL1328_.jpg,15,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Large,COLOUR,White/Dove Grey/Black,,,B081BPJJXR,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/6188+04O46L._AC_SL1500_.jpg,16,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,XX-Large,COLOUR,White,,,B07SFVVN1W,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51VErz0P5fL._AC_SL1500_.jpg,17,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,3X-Large,COLOUR,Black,,,B07SB55PKB,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61qdwYi9q6L._AC_SL1204_.jpg,18,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Large,COLOUR,Black (New),,,B07SDD4LHG,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61NJc4js8FL._AC_SL1500_.jpg,19,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,XX-Large,COLOUR,White/Dove Grey/Black,,,B081BP586V,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51pyCpckl8L._AC_SL1500_.jpg,20,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,3X-Large,COLOUR,White,,,B07SFFTGTG,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61dJEaEREDL._AC_SL1500_.jpg,21,,FALSE,,,,,,,,,,,,,,,,,,,,active,
